Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
5,3,21,82,31,4,5,4,11,28,30,5
4,3,3,2,24,97,2,5,3,5,13,49
